"Country or Area","Element Code","Element","Year","Unit","Value","Value Footnotes"
"Serbia","41","Yield","2007","Hg/Ha","20678.00000","Fc"
"Slovakia","41","Yield","2007","Hg/Ha","14150.00000","Fc"
"Slovenia","41","Yield","2007","Hg/Ha","30000.00000","Fc"
"South Africa","41","Yield","2007","Hg/Ha","11202.00000","Fc"
"South America +","41","Yield","2007","Hg/Ha","28159.00000","A "
"South-Eastern Asia +","41","Yield","2007","Hg/Ha","13412.00000","A "
"Southern Africa +","41","Yield","2007","Hg/Ha","11202.00000","A "
"Southern Asia +","41","Yield","2007","Hg/Ha","12480.00000","A "
"Southern Europe +","41","Yield","2007","Hg/Ha","25425.00000","A "
"Spain","41","Yield","2007","Hg/Ha","18333.00000","Fc"
"Sri Lanka","41","Yield","2007","Hg/Ha","16783.00000","Fc"
"Suriname","41","Yield","2007","Hg/Ha","10000.00000","Fc"
"Switzerland","41","Yield","2007","Hg/Ha","26052.00000","Fc"
"Syrian Arab Republic","41","Yield","2007","Hg/Ha","16243.00000","Fc"
"Tajikistan","41","Yield","2007","Hg/Ha","823.00000","Fc"
"Tanzania, United Republic of","41","Yield","2007","Hg/Ha","3800.00000","Fc"
"Thailand","41","Yield","2007","Hg/Ha","15827.00000","Fc"
"The former Yugoslav Republic of Macedonia","41","Yield","2007","Hg/Ha","13333.00000","Fc"
"Timor-Leste","41","Yield","2007","Hg/Ha","8125.00000","Fc"
"Turkey","41","Yield","2007","Hg/Ha","35353.00000","Fc"
"Uganda","41","Yield","2007","Hg/Ha","11972.00000","Fc"
"Ukraine","41","Yield","2007","Hg/Ha","12392.00000","Fc"
"United States of America","41","Yield","2007","Hg/Ha","28066.00000","Fc"
"Uruguay","41","Yield","2007","Hg/Ha","21278.00000","Fc"
"Venezuela, Bolivarian Republic of","41","Yield","2007","Hg/Ha","16238.00000","Fc"
"Viet Nam","41","Yield","2007","Hg/Ha","14492.00000","Fc"
"Western Africa +","41","Yield","2007","Hg/Ha","9286.00000","A "
"Western Asia +","41","Yield","2007","Hg/Ha","34286.00000","A "
"Western Europe +","41","Yield","2007","Hg/Ha","26448.00000","A "
"World +","41","Yield","2007","Hg/Ha","24449.00000","A "
"Zambia","41","Yield","2007","Hg/Ha","12000.00000","Fc"
"Zimbabwe","41","Yield","2007","Hg/Ha","16065.00000","Fc"

"fnSeqID","Footnote"
"A ","May include official, semi-official or estimated data"
"Fc","Calculated Data"
"NR","Not reported by country"
