"Country or Area","Element Code","Element","Year","Unit","Value","Value Footnotes"
"Nicaragua","41","Yield","2007","Hg/Ha","39484.00000","Fc"
"Niger","41","Yield","2007","Hg/Ha","31201.00000","Fc"
"Nigeria","41","Yield","2007","Hg/Ha","12998.00000","Fc"
"Northern Africa +","41","Yield","2007","Hg/Ha","101861.00000","A "
"Northern America +","41","Yield","2007","Hg/Ha","80919.00000","A "
"Oceania +","41","Yield","2007","Hg/Ha","66974.00000","A "
"Pakistan","41","Yield","2007","Hg/Ha","33013.00000","Fc"
"Panama","41","Yield","2007","Hg/Ha","23816.00000","Fc"
"Papua New Guinea","41","Yield","2007","Hg/Ha","20000.00000","Fc"
"Paraguay","41","Yield","2007","Hg/Ha","33000.00000","Fc"
"Peru","41","Yield","2007","Hg/Ha","72122.00000","Fc"
"Philippines","41","Yield","2007","Hg/Ha","38007.00000","Fc"
"Portugal","41","Yield","2007","Hg/Ha","60866.00000","Fc"
"Puerto Rico","41","Yield","2007","Hg/Ha","0.00000","Fc"
"Réunion","41","Yield","2007","Hg/Ha","20000.00000","Fc"
"Romania","41","Yield","2007","Hg/Ha","34023.00000","Fc"
"Russian Federation","41","Yield","2007","Hg/Ha","45135.00000","Fc"
"Rwanda","41","Yield","2007","Hg/Ha","42857.00000","Fc"
"Saint Vincent and Grenadines","41","Yield","2007","Hg/Ha","0.00000","NR"
"Saudi Arabia","41","Yield","2007","Hg/Ha","0.00000","Fc"
"Senegal","41","Yield","2007","Hg/Ha","24078.00000","Fc"
"Sierra Leone","41","Yield","2007","Hg/Ha","10256.00000","Fc"
"Solomon Islands","41","Yield","2007","Hg/Ha","39310.00000","Fc"
"Somalia","41","Yield","2007","Hg/Ha","61538.00000","Fc"
"South Africa","41","Yield","2007","Hg/Ha","22857.00000","Fc"
"South America +","41","Yield","2007","Hg/Ha","45115.00000","A "
"South-Eastern Asia +","41","Yield","2007","Hg/Ha","39899.00000","A "
"Southern Africa +","41","Yield","2007","Hg/Ha","23241.00000","A "
"Southern Asia +","41","Yield","2007","Hg/Ha","34432.00000","A "
"Southern Europe +","41","Yield","2007","Hg/Ha","66708.00000","A "
"Spain","41","Yield","2007","Hg/Ha","72242.00000","Fc"
"Sri Lanka","41","Yield","2007","Hg/Ha","39348.00000","Fc"
"Sudan","41","Yield","2007","Hg/Ha","30423.00000","Fc"
"Suriname","41","Yield","2007","Hg/Ha","42533.00000","Fc"
"Swaziland","41","Yield","2007","Hg/Ha","34000.00000","Fc"
"Syrian Arab Republic","41","Yield","2007","Hg/Ha","0.00000","NR"
"Tajikistan","41","Yield","2007","Hg/Ha","30706.00000","Fc"
"Tanzania, United Republic of","41","Yield","2007","Hg/Ha","18899.00000","Fc"
"Thailand","41","Yield","2007","Hg/Ha","30086.00000","Fc"
"The former Yugoslav Republic of Macedonia","41","Yield","2007","Hg/Ha","61321.00000","Fc"
"Timor-Leste","41","Yield","2007","Hg/Ha","13076.00000","Fc"
"Togo","41","Yield","2007","Hg/Ha","22836.00000","Fc"
"Trinidad and Tobago","41","Yield","2007","Hg/Ha","28823.00000","Fc"
"Turkey","41","Yield","2007","Hg/Ha","69083.00000","Fc"
"Turkmenistan","41","Yield","2007","Hg/Ha","22632.00000","Fc"
"Uganda","41","Yield","2007","Hg/Ha","13613.00000","Fc"
"Ukraine","41","Yield","2007","Hg/Ha","54000.00000","Fc"
"United States of America","41","Yield","2007","Hg/Ha","80919.00000","Fc"
"Uruguay","41","Yield","2007","Hg/Ha","78796.00000","Fc"
"Uzbekistan","41","Yield","2007","Hg/Ha","35945.00000","Fc"
"Venezuela, Bolivarian Republic of","41","Yield","2007","Hg/Ha","50513.00000","Fc"
"Viet Nam","41","Yield","2007","Hg/Ha","49809.00000","Fc"
"Western Africa +","41","Yield","2007","Hg/Ha","15468.00000","A "
"Western Asia +","41","Yield","2007","Hg/Ha","47674.00000","A "
"Western Europe +","41","Yield","2007","Hg/Ha","50693.00000","A "
"World +","41","Yield","2007","Hg/Ha","42332.00000","A "
"Zambia","41","Yield","2007","Hg/Ha","13083.00000","Fc"
"Zimbabwe","41","Yield","2007","Hg/Ha","24000.00000","Fc"

"fnSeqID","Footnote"
"A ","May include official, semi-official or estimated data"
"Fc","Calculated Data"
"NR","Not reported by country"
