"Country or Area","Element Code","Element","Year","Unit","Value","Value Footnotes"
"Micronesia, Federated States of","41","Yield","2007","Hg/Ha","53846.00000","Fc"
"Middle Africa +","41","Yield","2007","Hg/Ha","39377.00000","A "
"Montserrat","41","Yield","2007","Hg/Ha","45714.00000","Fc"
"Morocco","41","Yield","2007","Hg/Ha","373915.00000","Fc"
"Mozambique","41","Yield","2007","Hg/Ha","64285.00000","Fc"
"Nepal","41","Yield","2007","Hg/Ha","142322.00000","Fc"
"New Caledonia","41","Yield","2007","Hg/Ha","18722.00000","Fc"
"Nicaragua","41","Yield","2007","Hg/Ha","535517.00000","Fc"
"Niue","41","Yield","2007","Hg/Ha","20000.00000","Fc"
"Northern Africa +","41","Yield","2007","Hg/Ha","395796.00000","A "
"Northern America +","41","Yield","2007","Hg/Ha","168545.00000","A "
"Occupied Palestinian Territory","41","Yield","2007","Hg/Ha","228148.00000","Fc"
"Oceania +","41","Yield","2007","Hg/Ha","132130.00000","A "
"Oman","41","Yield","2007","Hg/Ha","118652.00000","Fc"
"Pakistan","41","Yield","2007","Hg/Ha","43142.00000","Fc"
"Panama","41","Yield","2007","Hg/Ha","439175.00000","Fc"
"Papua New Guinea","41","Yield","2007","Hg/Ha","140322.00000","Fc"
"Paraguay","41","Yield","2007","Hg/Ha","35384.00000","Fc"
"Philippines","41","Yield","2007","Hg/Ha","171353.00000","Fc"
"Polynesia +","41","Yield","2007","Hg/Ha","48418.00000","A "
"Portugal","41","Yield","2007","Hg/Ha","251851.00000","Fc"
"Puerto Rico","41","Yield","2007","Hg/Ha","232608.00000","Fc"
"Réunion","41","Yield","2007","Hg/Ha","49090.00000","Fc"
"Saint Lucia","41","Yield","2007","Hg/Ha","150000.00000","Fc"
"Saint Vincent and Grenadines","41","Yield","2007","Hg/Ha","100000.00000","Fc"
"Samoa","41","Yield","2007","Hg/Ha","52272.00000","Fc"
"Sao Tome and Principe","41","Yield","2007","Hg/Ha","62500.00000","Fc"
"Senegal","41","Yield","2007","Hg/Ha","242857.00000","Fc"
"Seychelles","41","Yield","2007","Hg/Ha","50000.00000","Fc"
"Singapore","41","Yield","2007","Hg/Ha","0.00000","NR"
"Solomon Islands","41","Yield","2007","Hg/Ha","30000.00000","Fc"
"Somalia","41","Yield","2007","Hg/Ha","172727.00000","Fc"
"South Africa","41","Yield","2007","Hg/Ha","497227.00000","Fc"
"South America +","41","Yield","2007","Hg/Ha","172682.00000","A "
"South-Eastern Asia +","41","Yield","2007","Hg/Ha","156668.00000","A "
"Southern Africa +","41","Yield","2007","Hg/Ha","489549.00000","A "
"Southern Asia +","41","Yield","2007","Hg/Ha","318622.00000","A "
"Southern Europe +","41","Yield","2007","Hg/Ha","342374.00000","A "
"Spain","41","Yield","2007","Hg/Ha","356596.00000","Fc"
"Sudan","41","Yield","2007","Hg/Ha","321739.00000","Fc"
"Suriname","41","Yield","2007","Hg/Ha","372753.00000","Fc"
"Swaziland","41","Yield","2007","Hg/Ha","41666.00000","Fc"
"Syrian Arab Republic","41","Yield","2007","Hg/Ha","228571.00000","Fc"
"Tanzania, United Republic of","41","Yield","2007","Hg/Ha","72916.00000","Fc"
"Thailand","41","Yield","2007","Hg/Ha","130718.00000","Fc"
"Timor-Leste","41","Yield","2007","Hg/Ha","333333.00000","Fc"
"Togo","41","Yield","2007","Hg/Ha","108571.00000","Fc"
"Tokelau","41","Yield","2007","Hg/Ha","30000.00000","Fc"
"Tonga","41","Yield","2007","Hg/Ha","14736.00000","Fc"
"Trinidad and Tobago","41","Yield","2007","Hg/Ha","51851.00000","Fc"
"Turkey","41","Yield","2007","Hg/Ha","439783.00000","Fc"
"Uganda","41","Yield","2007","Hg/Ha","45555.00000","Fc"
"United Arab Emirates","41","Yield","2007","Hg/Ha","133333.00000","Fc"
"United States of America","41","Yield","2007","Hg/Ha","168679.00000","Fc"
"Vanuatu","41","Yield","2007","Hg/Ha","111538.00000","Fc"
"Venezuela, Bolivarian Republic of","41","Yield","2007","Hg/Ha","146414.00000","Fc"
"Viet Nam","41","Yield","2007","Hg/Ha","142631.00000","Fc"
"Wallis and Futuna Islands","41","Yield","2007","Hg/Ha","55844.00000","Fc"
"Western Africa +","41","Yield","2007","Hg/Ha","115945.00000","A "
"Western Asia +","41","Yield","2007","Hg/Ha","251694.00000","A "
"World +","41","Yield","2007","Hg/Ha","168031.00000","A "
"Yemen","41","Yield","2007","Hg/Ha","120967.00000","Fc"
"Zambia","41","Yield","2007","Hg/Ha","31818.00000","Fc"
"Zimbabwe","41","Yield","2007","Hg/Ha","48571.00000","Fc"

"fnSeqID","Footnote"
"A ","May include official, semi-official or estimated data"
"Fc","Calculated Data"
"NR","Not reported by country"
