"Country or Area","Element Code","Element","Year","Unit","Value","Value Footnotes"
"Ghana","41","Yield","2007","Hg/Ha","47878.00000","Fc"
"Greece","41","Yield","2007","Hg/Ha","42500.00000","Fc"
"Grenada","41","Yield","2007","Hg/Ha","64000.00000","Fc"
"Guadeloupe","41","Yield","2007","Hg/Ha","140000.00000","Fc"
"Guatemala","41","Yield","2007","Hg/Ha","157156.00000","Fc"
"Guyana","41","Yield","2007","Hg/Ha","38461.00000","Fc"
"Haiti","41","Yield","2007","Hg/Ha","55128.00000","Fc"
"Honduras","41","Yield","2007","Hg/Ha","35416.00000","Fc"
"Indonesia","41","Yield","2007","Hg/Ha","117066.00000","Fc"
"Israel","41","Yield","2007","Hg/Ha","168456.00000","Fc"
"Jamaica","41","Yield","2007","Hg/Ha","75471.00000","Fc"
"Kenya","41","Yield","2007","Hg/Ha","130000.00000","Fc"
"Lebanon","41","Yield","2007","Hg/Ha","139534.00000","Fc"
"Madagascar","41","Yield","2007","Hg/Ha","82142.00000","Fc"
"Martinique","41","Yield","2007","Hg/Ha","40000.00000","Fc"
"Mexico","41","Yield","2007","Hg/Ha","103544.00000","Fc"
"Middle Africa +","41","Yield","2007","Hg/Ha","53671.00000","A "
"Morocco","41","Yield","2007","Hg/Ha","88000.00000","Fc"
"New Zealand","41","Yield","2007","Hg/Ha","49950.00000","Fc"
"Northern Africa +","41","Yield","2007","Hg/Ha","88051.00000","A "
"Northern America +","41","Yield","2007","Hg/Ha","63365.00000","A "
"Occupied Palestinian Territory","41","Yield","2007","Hg/Ha","290000.00000","Fc"
"Oceania +","41","Yield","2007","Hg/Ha","61941.00000","A "
"Panama","41","Yield","2007","Hg/Ha","41638.00000","Fc"
"Paraguay","41","Yield","2007","Hg/Ha","58695.00000","Fc"
"Peru","41","Yield","2007","Hg/Ha","89480.00000","Fc"
"Philippines","41","Yield","2007","Hg/Ha","45708.00000","Fc"
"Polynesia +","41","Yield","2007","Hg/Ha","239423.00000","A "
"Portugal","41","Yield","2007","Hg/Ha","13913.00000","Fc"
"Puerto Rico","41","Yield","2007","Hg/Ha","21348.00000","Fc"
"Réunion","41","Yield","2007","Hg/Ha","60000.00000","Fc"
"Saint Lucia","41","Yield","2007","Hg/Ha","70000.00000","Fc"
"Samoa","41","Yield","2007","Hg/Ha","287500.00000","Fc"
"South Africa","41","Yield","2007","Hg/Ha","50156.00000","Fc"
"South America +","41","Yield","2007","Hg/Ha","88090.00000","A "
"South-Eastern Asia +","41","Yield","2007","Hg/Ha","99758.00000","A "
"Southern Africa +","41","Yield","2007","Hg/Ha","50193.00000","A "
"Southern Europe +","41","Yield","2007","Hg/Ha","50861.00000","A "
"Spain","41","Yield","2007","Hg/Ha","79628.00000","Fc"
"Swaziland","41","Yield","2007","Hg/Ha","60000.00000","Fc"
"Timor-Leste","41","Yield","2007","Hg/Ha","56923.00000","Fc"
"Trinidad and Tobago","41","Yield","2007","Hg/Ha","54117.00000","Fc"
"Tunisia","41","Yield","2007","Hg/Ha","92000.00000","Fc"
"Turkey","41","Yield","2007","Hg/Ha","40478.00000","Fc"
"United States of America","41","Yield","2007","Hg/Ha","63365.00000","Fc"
"Venezuela, Bolivarian Republic of","41","Yield","2007","Hg/Ha","102565.00000","Fc"
"Western Africa +","41","Yield","2007","Hg/Ha","54259.00000","A "
"Western Asia +","41","Yield","2007","Hg/Ha","160460.00000","A "
"Western Europe +","41","Yield","2007","Hg/Ha","60909.00000","A "
"World +","41","Yield","2007","Hg/Ha","87700.00000","A "
"Zimbabwe","41","Yield","2007","Hg/Ha","64705.00000","Fc"

"fnSeqID","Footnote"
"A ","May include official, semi-official or estimated data"
"Fc","Calculated Data"
