"Country or Area","Element Code","Element","Year","Unit","Value","Value Footnotes"
"Kuwait","41","Yield","2007","Hg/Ha","276470.00000","Fc"
"Kyrgyzstan","41","Yield","2007","Hg/Ha","158947.00000","Fc"
"Lao People's Democratic Republic","41","Yield","2007","Hg/Ha","65454.00000","Fc"
"Latvia","41","Yield","2007","Hg/Ha","159305.00000","Fc"
"Lebanon","41","Yield","2007","Hg/Ha","256019.00000","Fc"
"Lesotho","41","Yield","2007","Hg/Ha","171428.00000","Fc"
"Libyan Arab Jamahiriya","41","Yield","2007","Hg/Ha","193333.00000","Fc"
"Lithuania","41","Yield","2007","Hg/Ha","109109.00000","Fc"
"Luxembourg","41","Yield","2007","Hg/Ha","318468.00000","Fc"
"Madagascar","41","Yield","2007","Hg/Ha","59210.00000","Fc"
"Malawi","41","Yield","2007","Hg/Ha","151922.00000","Fc"
"Mali","41","Yield","2007","Hg/Ha","240550.00000","Fc"
"Malta","41","Yield","2007","Hg/Ha","202085.00000","Fc"
"Martinique","41","Yield","2007","Hg/Ha","0.00000","NR"
"Mauritania","41","Yield","2007","Hg/Ha","51162.00000","Fc"
"Mauritius","41","Yield","2007","Hg/Ha","251918.00000","Fc"
"Melanesia +","41","Yield","2007","Hg/Ha","71358.00000","A "
"Mexico","41","Yield","2007","Hg/Ha","270564.00000","Fc"
"Middle Africa +","41","Yield","2007","Hg/Ha","46206.00000","A "
"Moldova","41","Yield","2007","Hg/Ha","56214.00000","Fc"
"Mongolia","41","Yield","2007","Hg/Ha","99886.00000","Fc"
"Montenegro","41","Yield","2007","Hg/Ha","104915.00000","Fc"
"Montserrat","41","Yield","2007","Hg/Ha","33333.00000","Fc"
"Morocco","41","Yield","2007","Hg/Ha","247975.00000","Fc"
"Mozambique","41","Yield","2007","Hg/Ha","129032.00000","Fc"
"Myanmar","41","Yield","2007","Hg/Ha","141666.00000","Fc"
"Nepal","41","Yield","2007","Hg/Ha","126567.00000","Fc"
"Netherlands","41","Yield","2007","Hg/Ha","447204.00000","Fc"
"New Caledonia","41","Yield","2007","Hg/Ha","100166.00000","Fc"
"New Zealand","41","Yield","2007","Hg/Ha","502487.00000","Fc"
"Nicaragua","41","Yield","2007","Hg/Ha","137500.00000","Fc"
"Niger","41","Yield","2007","Hg/Ha","100000.00000","Fc"
"Nigeria","41","Yield","2007","Hg/Ha","24609.00000","Fc"
"Northern Africa +","41","Yield","2007","Hg/Ha","224426.00000","A "
"Northern America +","41","Yield","2007","Hg/Ha","411531.00000","A "
"Northern Europe +","41","Yield","2007","Hg/Ha","295703.00000","A "
"Norway","41","Yield","2007","Hg/Ha","220759.00000","Fc"
"Occupied Palestinian Territory","41","Yield","2007","Hg/Ha","309556.00000","Fc"
"Oceania +","41","Yield","2007","Hg/Ha","385489.00000","A "
"Oman","41","Yield","2007","Hg/Ha","284231.00000","Fc"
"Pakistan","41","Yield","2007","Hg/Ha","195716.00000","Fc"
"Panama","41","Yield","2007","Hg/Ha","264557.00000","Fc"
"Papua New Guinea","41","Yield","2007","Hg/Ha","45000.00000","Fc"
"Paraguay","41","Yield","2007","Hg/Ha","65000.00000","Fc"
"Peru","41","Yield","2007","Hg/Ha","126156.00000","Fc"
"Philippines","41","Yield","2007","Hg/Ha","149259.00000","Fc"
"Poland","41","Yield","2007","Hg/Ha","207006.00000","Fc"
"Polynesia +","41","Yield","2007","Hg/Ha","90000.00000","A "
"Portugal","41","Yield","2007","Hg/Ha","154323.00000","Fc"
"Qatar","41","Yield","2007","Hg/Ha","100000.00000","Fc"
"Réunion","41","Yield","2007","Hg/Ha","23076.00000","Fc"
"Romania","41","Yield","2007","Hg/Ha","136211.00000","Fc"
"Russian Federation","41","Yield","2007","Hg/Ha","128992.00000","Fc"
"Rwanda","41","Yield","2007","Hg/Ha","90225.00000","Fc"
"Saint Kitts and Nevis","41","Yield","2007","Hg/Ha","140000.00000","Fc"
"Saudi Arabia","41","Yield","2007","Hg/Ha","235427.00000","Fc"
"Senegal","41","Yield","2007","Hg/Ha","166666.00000","Fc"
"Serbia","41","Yield","2007","Hg/Ha","91335.00000","Fc"
"Slovakia","41","Yield","2007","Hg/Ha","161892.00000","Fc"
"Slovenia","41","Yield","2007","Hg/Ha","230000.00000","Fc"
"South Africa","41","Yield","2007","Hg/Ha","340067.00000","Fc"
"South America +","41","Yield","2007","Hg/Ha","153358.00000","A "
"South-Eastern Asia +","41","Yield","2007","Hg/Ha","139497.00000","A "
"Southern Africa +","41","Yield","2007","Hg/Ha","311470.00000","A "
"Southern Asia +","41","Yield","2007","Hg/Ha","159290.00000","A "
"Southern Europe +","41","Yield","2007","Hg/Ha","185594.00000","A "
"Spain","41","Yield","2007","Hg/Ha","282309.00000","Fc"
"Sri Lanka","41","Yield","2007","Hg/Ha","145197.00000","Fc"
"Sudan","41","Yield","2007","Hg/Ha","166666.00000","Fc"
"Swaziland","41","Yield","2007","Hg/Ha","20000.00000","Fc"
"Sweden","41","Yield","2007","Hg/Ha","277014.00000","Fc"
"Switzerland","41","Yield","2007","Hg/Ha","417233.00000","Fc"
"Syrian Arab Republic","41","Yield","2007","Hg/Ha","183427.00000","Fc"
"Tajikistan","41","Yield","2007","Hg/Ha","218368.00000","Fc"
"Tanzania, United Republic of","41","Yield","2007","Hg/Ha","52000.00000","Fc"
"Thailand","41","Yield","2007","Hg/Ha","157502.00000","Fc"
"The former Yugoslav Republic of Macedonia","41","Yield","2007","Hg/Ha","131087.00000","Fc"
"Timor-Leste","41","Yield","2007","Hg/Ha","25000.00000","Fc"
"Tunisia","41","Yield","2007","Hg/Ha","142566.00000","Fc"
"Turkey","41","Yield","2007","Hg/Ha","276424.00000","Fc"
"Turkmenistan","41","Yield","2007","Hg/Ha","59328.00000","Fc"
"Uganda","41","Yield","2007","Hg/Ha","69892.00000","Fc"
"Ukraine","41","Yield","2007","Hg/Ha","131438.00000","Fc"
"United Arab Emirates","41","Yield","2007","Hg/Ha","254838.00000","Fc"
"United Kingdom","41","Yield","2007","Hg/Ha","401925.00000","Fc"
"United States of America","41","Yield","2007","Hg/Ha","445896.00000","Fc"
"Uruguay","41","Yield","2007","Hg/Ha","149352.00000","Fc"
"Uzbekistan","41","Yield","2007","Hg/Ha","212112.00000","Fc"
"Venezuela, Bolivarian Republic of","41","Yield","2007","Hg/Ha","185657.00000","Fc"
"Viet Nam","41","Yield","2007","Hg/Ha","105714.00000","Fc"
"Western Africa +","41","Yield","2007","Hg/Ha","29465.00000","A "
"Western Asia +","41","Yield","2007","Hg/Ha","221436.00000","A "
"Western Europe +","41","Yield","2007","Hg/Ha","435971.00000","A "
"World +","41","Yield","2007","Hg/Ha","166931.00000","A "
"Yemen","41","Yield","2007","Hg/Ha","128753.00000","Fc"
"Zambia","41","Yield","2007","Hg/Ha","138095.00000","Fc"
"Zimbabwe","41","Yield","2007","Hg/Ha","160000.00000","Fc"

"fnSeqID","Footnote"
"A ","May include official, semi-official or estimated data"
"Fc","Calculated Data"
"NR","Not reported by country"
